#NAME	ERR9752048	ERR9752060	ERR9752066	ERR9752099	ERR9752105	ERR9752116	ERR9752121	ERR9752145	ERR9752159	ERR9752171	ERR9752177	ERR9752183	ERR9752193	ERR9752233	ERR9752239	ERR9752255	ERR9752265	ERR9752280	ERR9752286	ERR9752297	ERR9752317	ERR9752352	ERR9752376	ERR9752409	ERR9752414	ERR9752423	ERR9752438	ERR9752458
K00068	4.454	40.0948	0.0	0.0	25.172022	1.537324	0.0	8.039702	57.424170000000004	13.31288	0.0	105.01343	87.566	96.7983691	9.20126	0.0	71.36704	1.058946	0.0	0.0	84.9042	106.2656	0.0	8.354182	0.290558	19.829359	0.0	0.0
K00073	9.393254	0.0	0.0	0.0	0.0	1.9239956	1.205748	4.53016	0.0	0.0	0.0	0.0	0.0	0.0	18.54169	0.0	0.0	4.087425	0.0	0.0	0.0	0.0	0.0	46.171408	18.297454000000002	39.0046	0.380298	0.0
K00074	1.623762	1.949934	0.0	0.0	80.9454	0.0	0.0	25.259980000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.49862	0.0	0.0	0.0	0.0	0.0	141.0262	0.0	0.0	5.13062	6.23962	0.0
K00075	241.3075623	223.654279	178.476334	605.87639	199.583168	183.749862	70.8487875	109.6996278	315.43999	69.45621	151.622475	120.11892	5.133093	15.442283	162.56618	93.539453	440.543669	289.8034707	443.990135	482.216868	62.962582999999995	97.7439793	253.771923	5.010297	23.633038	184.75312499999998	327.30253	2.3483
K00076	9.81908	0.0	0.0	0.0	0.0	2.5313755000000002	0.0	9.25674	0.0	0.0	0.0	0.0	0.0	0.0	21.00156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.2600690000000005	0.963092	0.0
K00077	42.572444000000004	39.7733713	1.224274	0.0	82.055205	2.2249364000000003	11.923056	10.2172057	119.727033	0.0	5.179526	149.31568	4.7030840000000005	3.6429771	35.589223	11.454844000000001	244.2858	24.452839	1.5670697	141.5326048	110.84058	111.10320899999999	264.434115	18.878221	33.581022000000004	4.890817	0.580084	173.732
K00087	3.96142	0.0	0.0	0.0	0.0	1.0080339	1.915137	5.1342	0.0	40.0938	0.0	0.0	0.0	0.0	13.61049	0.0	0.0	4.561861	0.0	0.0	0.0	0.0	0.0	1.306538	5.096698	3.78512	0.23219	0.0
K00088	75.787915	96.7398615	191.1521056	518.6196649999999	67.7586202	80.532838	15.1600865	39.912159	199.5275327	118.31679	35.237798	122.87761900000001	40.77623	35.3616006	70.48773609999999	85.7734229	196.460364	90.1343996	239.817681	277.58783400000004	56.843358	62.402483000000004	294.485986	37.1191434	19.6555404	227.54147980000002	149.85354	47.599976
K00090	5.83142	46.3902	0.0	0.0	11.2301	2.747163	4.5507	6.3009	69.328055	17.08756	0.0	45.6166	101.640816	120.20556810000001	15.09874	0.0	0.0	5.06398	0.0	0.0	24.3534339	44.5248	216.564	16.9817	67.53342	20.2692	0.655754	42.821794000000004
K00094	6.45574	0.0	0.0	0.0	0.0	1.755276	11.5822	0.0	0.0	0.0	0.24832	0.0	0.0	0.0	32.0074	0.0	0.0	11.99176	0.0	0.0	0.0	0.0	177.1756	67.79136	42.984405	0.37059	0.576468	0.0
K00097	51.235014	105.44255	0.0	0.0	7.88124	7.766712	125.422203	118.65096	26.434	0.0	4.352297	0.0	0.0	73.62358	18.9157	68.23257000000001	0.0	67.651018	0.0	0.0	0.0	0.0	0.0	145.03857	139.94383100000002	27.13401	8.88788	0.0
K00099	265.67384	203.782333	113.476968	431.768	240.415624	351.859478	109.85337399999999	194.085799	194.416831	54.105	400.92407019999996	133.51991	0.986326	161.072001	127.04712099999999	81.37217	350.106178	211.93589	316.6843	495.32064619999994	141.329	115.33042	3.579255	53.39564	36.885582899999996	195.7178338	415.326301	2.4128789999999998
K00101	3.10514	48.3196	73.918	0.0	17.56876	5.153457	52.73417	0.0	79.513619	36.1	3.877765	96.2987	71.5744	107.831023	21.67623	7.9327675	2.275845	88.1244	0.0	0.0	50.9552	71.1152	159.134132	109.516725	46.076001000000005	0.0	2.696153	64.735256
K00104	7.41792	7.70912	0.0	2.10284	61.0492	39.429424	13.05362	9.79432	0.0	11.29462	5.945885	2.25038	0.0	60.046186999999996	26.233359999999998	127.2426	0.0	10.470960999999999	21.8424	0.0	20.1306	0.0	20.1268	0.0	15.721979000000001	37.9322	0.82028	0.0
K00108	9.84402	34.643	75.198261	0.529346	28.679986	14.0466938	0.0	8.182423	58.9055513	0.0	1.32952	116.64797999999999	74.76638700000001	21.760786	26.170583	16.806995	70.827945	0.5113730000000001	2.018881	4.809579	88.965176	107.20440260000001	180.896019	0.760204	24.6746	5.64424	0.0	40.164626
K00111	10.689204	42.2234	1.8905	5.11076	10.849344	15.355224	33.439987	4.303725	70.92344399999999	54.034	1.7163365	56.137845999999996	60.5458	176.5982125	43.827425	62.069331999999996	314.4218957	53.466592	1.6450394	90.530003	56.796426999999994	64.6242242	193.00082	84.439993	24.680761	0.280888	1.101622	27.6946
K00112	4.6127216	34.359	0.0	0.0	3.19722	1.987938	0.0	0.0	46.762771	0.0	0.0	77.8376	76.473	13.395186	19.84533	16.4302608	0.0	0.0	0.0	0.0	71.4674	87.3036	112.2258	18.70728	0.0	11.1240091	0.0	41.42742
