#NAME	ERR9752048	ERR9752053	ERR9752060	ERR9752065	ERR9752066	ERR9752070	ERR9752099	ERR9752104	ERR9752105	ERR9752110	ERR9752116	ERR9752120	ERR9752121	ERR9752125	ERR9752145	ERR9752150	ERR9752159	ERR9752164	ERR9752171	ERR9752176	ERR9752177	ERR9752181	ERR9752183	ERR9752187	ERR9752193	ERR9752197	ERR9752233	ERR9752238	ERR9752239	ERR9752243	ERR9752255	ERR9752259	ERR9752265	ERR9752270	ERR9752280	ERR9752285	ERR9752286	ERR9752290	ERR9752297	ERR9752302	ERR9752317	ERR9752321	ERR9752352	ERR9752357	ERR9752376	ERR9752380	ERR9752409	ERR9752413	ERR9752414	ERR9752417	ERR9752423	ERR9752427	ERR9752438	ERR9752442	ERR9752458	ERR9752462
K10194	0.0	0.0	0.0	0.0	0.0	0.428628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.9254	0.0	0.0	4.43746	0.0	1.333934	0.0	0.600852	0.0	0.0	0.0	1.117262	0.0	0.701616	0.0	0.795736	0.0	3.24872	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.33544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K10200	0.0	0.0	0.0	0.0	0.0	0.615098	397.06	0.0	0.0	0.0	0.0	0.0	0.0	1.050584	0.0	1.045222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.313752	0.0	0.50145	0.0	0.0	0.0	0.599976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K10201	0.0	0.0	0.0	0.0	0.0	0.281944	395.122	0.0	0.0	0.0	0.0	0.0	0.0	0.704016	0.0	0.981446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37616	0.0	2.06038	0.0	0.0	0.0	0.0	0.0	0.894962	0.0	0.540316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K10672	0.0	0.0	0.0	0.0	0.0	0.549798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.02982	0.0	5.14088	0.0	0.0	0.0	0.306092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.654084	0.0	0.0	0.0	0.0	0.0	1.544592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K11181	0.0	0.0	0.0	0.0	0.0	0.546372	0.0	0.0	0.0	0.0	0.0	0.596182	0.0	0.259056	0.0	0.399298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7729718999999999	0.0	0.0	0.0	0.0	0.0	0.722598	0.0	0.588318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.141688	0.0	0.0	0.0	0.0
K11615	0.0	0.0	0.0	0.0	0.0	1.3802050000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.693082	0.0	2.839325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.844922	0.0	0.0	0.0	0.0	0.0	0.564114	0.0	0.0	0.0	0.271312	0.0	0.827158	0.0	1.699093	0.0	0.330434	0.0	0.0	0.0	3.549308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.232712	0.0	0.0	0.0
K12268	0.0	0.0	0.0	0.0	0.0	0.3084019	0.0	0.0	2.00842	0.0	0.425656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.466936	0.0	0.0	0.0	1.2755830000000001	0.0	0.0	0.0	0.0	0.366144	0.0	1.084966	0.0	0.0	0.0	0.0	0.0	0.0	7.78532	0.0	0.0	0.831338	0.0	0.0	0.0	0.0	0.0	0.70704	0.0	0.0	0.0	0.0	0.0	0.0	9.474845	0.0	0.0
K12996	0.0	0.0	0.0	0.0	0.0	17.22676	0.0	0.0	0.0	5.80202	0.0	17.129284000000002	0.0	0.0	0.0	0.0	0.0	1.66808	0.0	0.0	0.0	0.0	0.0	2.00054	0.0	0.62699	0.0	0.0	0.0	3.429884	0.0	0.0	0.0	1.157928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.42988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.877668
K12999	0.0	0.0	0.0	0.0	0.0	0.868444	0.0	0.0	0.0	1.25124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.503388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K13919	0.0	0.0	0.0	0.0	0.0	0.6006421	0.0	0.0	16.4842	0.0	2.2215916	0.0	0.0	0.0	0.0	0.0	22.071	0.0	0.0	0.0	0.0	0.0	88.1324	0.650872	106.22764799999999	0.0	86.42902	29.526780000000002	0.0	0.0	0.0	0.0	0.0	0.33198	0.0	1.682376	0.0	1.4527869999999998	0.0	0.0	99.7684	0.0	112.9954	1.355282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.57204	0.0	71.20814	2.1488240000000003
